,name,desc,url,version,license,dependencies,install_30,install_90,install_365,on_request_30,on_request_90,on_request_365,build_error_30,build_error_90,build_error_365
0,a2ps,Any-to-PostScript filter,https://www.gnu.org/software/a2ps/,4.15,GPL-3.0-or-later,"bdw-gc, libpaper",43,204,1188,44,205,1189,0,0,0
1,a52dec,Library for decoding ATSC A/52 streams (AKA 'AC-3'),https://liba52.sourceforge.io/,0.7.4,GPL-2.0-or-later,,42,155,845,14,69,358,0,0,0
2,aacgain,AAC-supporting version of mp3gain,https://aacgain.altosdesign.com/,1.8,GPL-2.0-or-later,,20,133,629,20,133,629,0,0,0
3,aalib,Portable ASCII art graphics library,https://aa-project.sourceforge.io/aalib/,1.4rc5,GPL-2.0-or-later,,60,292,1499,51,234,1082,0,0,0
4,aamath,Renders mathematical expressions as ASCII art,http://fuse.superglue.se/aamath/,0.3,GPL-2.0-only,,9,46,156,9,46,155,0,0,0
5,aarch64-elf-binutils,GNU Binutils for aarch64-elf cross development,https://www.gnu.org/software/binutils/,2.40,GPL-3.0-or-later,,91,512,1655,25,177,611,0,0,0
6,aarch64-elf-gcc,GNU compiler collection for aarch64-elf,https://gcc.gnu.org,12.2.0,GPL-3.0-or-later with GCC-exception-3.1,"aarch64-elf-binutils, gmp, libmpc, mpfr",53,268,1228,53,268,1228,0,0,0
7,aardvark_shell_utils,Utilities to aid shell scripts or command-line users,http://www.laffeycomputer.com/shellutils.html,1.0,GPL-2.0-or-later,,10,69,706,5,26,160,0,0,0
8,abcde,Better CD Encoder,https://abcde.einval.com,2.9.3,GPL-2.0-or-later,"cdrtools, eye-d3, flac, glyr, lame, libdiscid, mkcue, perl, vorbis-tools",63,192,711,63,192,710,0,0,0
9,abcl,Armed Bear Common Lisp: a full implementation of Common Lisp,https://abcl.org/,1.9.1,GPL-2.0-or-later with Classpath-exception-2.0,"ant, openjdk, rlwrap",48,144,499,48,144,499,0,0,0
10,abcm2ps,ABC music notation software,http://moinejf.free.fr,8.14.14,GPL-3.0-or-later,,15,119,281,15,119,281,0,0,0
11,abcmidi,Converts abc music notation files to MIDI files,https://ifdo.ca/~seymour/runabc/top.html,2023.02.08,GPL-2.0-or-later,,103,475,1362,103,475,1361,0,0,0
12,abduco,Provides session management: i.e. separate programs from terminals,https://www.brain-dump.org/projects/abduco,0.6,ISC,,3,20,129,3,20,129,0,0,0
13,abi-compliance-checker,Tool for checking backward API/ABI compatibility of a C/C++ library,https://lvc.github.io/abi-compliance-checker/,2.3,LGPL-2.1-or-later,gcc,2,12,63,2,12,63,0,0,0
14,abi-dumper,Dump ABI of an ELF object containing DWARF debug info,https://github.com/lvc/abi-dumper,1.2,LGPL-2.1-or-later,"abi-compliance-checker, elfutils, universal-ctags, vtable-dumper",0,0,0,0,0,0,0,0,0
15,abnfgen,Quickly generate random documents that match an ABFN grammar,https://www.quut.com/abnfgen/,0.20,,,4,13,38,4,13,38,0,0,0
16,abook,Address book with mutt support,https://abook.sourceforge.io/,0.6.1,GPL-2.0-only and GPL-2.0-or-later and GPL-3.0-or-later and Public Domain and X11,"gettext, readline",14,79,387,7,52,279,0,0,0
17,abricate,Find antimicrobial resistance and virulence genes in contigs,https://github.com/tseemann/abricate,1.0.1,GPL-2.0-only,"bioperl, blast, openssl@1.1, perl",10,52,336,10,52,335,0,0,0
18,abseil,C++ Common Libraries,https://abseil.io,20230125.1,Apache-2.0,,6791,39961,105732,87,350,2022,0,0,0
19,abuse,Dark 2D side-scrolling platform game,http://abuse.zoy.org/,0.8,Public Domain and GPL-2.0-or-later and WTFPL,"libvorbis, sdl12-compat, sdl_mixer",9,73,341,9,73,341,0,0,0
20,abyss,Genome sequence assembler for short reads,https://www.bcgsc.ca/resources/software/abyss,2.3.5,GPL-3.0-only and LGPL-2.1-or-later and MIT and BSD-3-Clause,"gcc, open-mpi",22,72,471,22,71,464,0,0,0
21,ace,ADAPTIVE Communication Environment: OO network programming in C++,https://www.dre.vanderbilt.edu/~schmidt/ACE.html,7.1.0,DOC,,28,245,945,22,220,880,0,0,0
22,aces_container,Reference implementation of SMPTE ST2065-4,https://github.com/ampas/aces_container,1.0.2,,,5,51,173,2,8,34,0,0,0
23,ack,"Search tool like grep, but optimized for programmers",https://beyondgrep.com/,3.7.0,Artistic-2.0,,2837,14665,91482,2833,14636,91242,0,0,0
24,acl,Commands for manipulating POSIX access control lists,https://savannah.nongnu.org/projects/acl/,2.3.1,GPL-2.0-or-later and LGPL-2.1-or-later,attr,0,0,0,0,0,0,0,0,0
25,acl2,Logic and programming language in which you can model computer systems,https://www.cs.utexas.edu/users/moore/acl2/index.html,8.5,BSD-3-Clause,sbcl,14,102,435,14,102,435,0,0,0
26,acme,Crossassembler for multiple environments,https://sourceforge.net/projects/acme-crossass/,0.97,GPL-2.0-or-later,,144,897,4210,143,896,4207,0,0,0
27,acmetool,Automatic certificate acquisition tool for ACME (Let's Encrypt),https://github.com/hlandau/acmetool,0.0.67,MIT,,0,0,67,0,0,67,0,0,0
28,acpica,OS-independent implementation of the ACPI specification,https://www.acpica.org/,20221022,Intel-ACPI or GPL-2.0-only or BSD-3-Clause,,30,274,884,30,273,882,0,0,0
29,act,Run your GitHub Actions locally 🚀,https://github.com/nektos/act,0.2.43,MIT,,5344,30901,106300,5347,30903,106293,2,0,0
30,actionlint,Static checker for GitHub Actions workflow files,https://rhysd.github.io/actionlint/,1.6.23,MIT,,314,1408,6915,314,1407,6906,0,0,0
31,activemq,Apache ActiveMQ: powerful open source messaging server,https://activemq.apache.org/,5.17.4,Apache-2.0,"java-service-wrapper, openjdk",359,1879,9670,358,1876,9656,0,0,0
32,activemq-cpp,C++ API for message brokers such as Apache ActiveMQ,https://activemq.apache.org/components/cms/,3.9.5,Apache-2.0,"apr, openssl@3",10,29,122,10,29,121,0,0,0
33,adamstark-audiofile,C++ Audio File Library by Adam Stark,https://github.com/adamstark/AudioFile,1.1.0,MIT,,5,19,79,5,19,79,0,0,0
34,adios2,Next generation of ADIOS developed in the Exascale Computing Program,https://adios2.readthedocs.io,2.8.3,Apache-2.0,"c-blosc, gcc, libfabric, libpng, mpi4py, numpy, open-mpi, pugixml, pybind11, python@3.11, yaml-cpp, zeromq",78,264,1261,37,153,913,0,0,0
35,admesh,Processes triangulated solid meshes,https://github.com/admesh/admesh,0.98.5,GPL-2.0,,8,43,118,7,41,111,0,0,0
36,adns,C/C++ resolver library and DNS resolver utilities,https://www.chiark.greenend.org.uk/~ian/adns/,1.6.0,GPL-3.0-or-later and LGPL-2.0-or-later,,204,1061,6617,60,321,1686,0,0,0
37,adplug,"Free, hardware independent AdLib sound player library",https://adplug.github.io,2.3.3,LGPL-2.1,libbinio,4,17,59,4,17,59,0,0,0
38,adr-tools,CLI tool for working with Architecture Decision Records,https://github.com/npryce/adr-tools,3.0.0,CC-BY-4.0,,263,1201,5938,263,1202,5932,0,0,0
39,advancecomp,"Recompression utilities for .PNG, .MNG, .ZIP, and .GZ files",https://www.advancemame.it/comp-readme.html,2.5,GPL-3.0-only,,131,716,2717,99,557,2156,0,0,0
40,advancemame,MAME with advanced video support,https://www.advancemame.it/,3.9,GPL-2.0,"freetype, sdl2",13,43,293,13,43,294,0,0,0
41,advancescan,Rom manager for AdvanceMAME/MESS,https://www.advancemame.it/scan-readme.html,1.18,GPL-2.0,,5,24,81,4,22,68,0,0,0
42,adwaita-icon-theme,Icons for the GNOME project,https://developer.gnome.org,43,LGPL-3.0-or-later or CC-BY-SA-3.0,librsvg,3946,20627,131635,1488,8235,58387,0,0,0
43,aerc,Email client that runs in your terminal,https://aerc-mail.org/,0.14.0,MIT,,65,408,1956,65,408,1953,0,0,0
44,aescrypt,Program for encryption/decryption,https://aescrypt.sourceforge.io/,0.7,BSD-4-Clause,,21,90,401,21,90,401,0,0,0
45,aescrypt-packetizer,Encrypt and decrypt using 256-bit AES encryption,https://www.aescrypt.com,3.16,,,7,27,140,7,27,140,0,0,0
46,aespipe,AES encryption or decryption for pipes,https://loop-aes.sourceforge.io/,2.4f,,,26,175,2565,26,175,2566,0,0,0
47,afflib,Advanced Forensic Format,https://github.com/sshock/AFFLIBv3,3.7.20,BSD-4-Clause and Public Domain,"openssl@1.1, python@3.11",411,2333,6459,252,1293,3273,0,0,0
48,afio,Creates cpio-format archives,https://github.com/kholtman/afio,2.5.2,,,1,7,31,0,7,31,0,0,0
49,afl-fuzz,American fuzzy lop: Security-oriented fuzzer,https://github.com/google/AFL,2.57b,Apache-2.0,,41,87,380,41,87,380,0,0,0
50,afsctool,Utility for manipulating APFS and ZFS compressed files,https://brkirch.wordpress.com/afsctool/,1.7.3,GPL-3.0-only and BSL-1.0,,53,216,1058,53,215,1050,0,0,0
51,aften,Audio encoder which generates ATSC A/52 compressed audio streams,https://aften.sourceforge.io/,0.0.8,LGPL-2.1-or-later,,398,1993,9691,7,44,166,0,0,0
52,afuse,Automounting file system implemented in userspace with FUSE,https://github.com/pcarrier/afuse/,0.4.1,GPL-2.0,libfuse@2,0,0,2,0,0,0,0,0,0
53,agda,Dependently typed functional programming language,https://wiki.portal.chalmers.se/agda/,2.6.3,BSD-3-Clause,"cabal-install, emacs, ghc",241,1151,3639,216,1068,3378,0,0,0
54,age,"Simple, modern, secure file encryption",https://github.com/FiloSottile/age,1.1.1,BSD-3-Clause,,490,3497,7896,490,3496,7892,0,0,0
55,age-plugin-yubikey,Plugin for encrypting files with age and PIV tokens such as YubiKeys,https://github.com/str4d/age-plugin-yubikey,0.3.3,Apache-2.0 or MIT,,94,296,426,94,296,426,0,0,0
56,agedu,Unix utility for tracking down wasted disk space,https://www.chiark.greenend.org.uk/~sgtatham/agedu/,20211129,MIT,,6,34,225,6,34,224,0,0,0
57,agg,Asciicast to GIF converter,https://github.com/asciinema/agg,1.3.0,Apache-2.0,,30,150,385,30,151,386,0,0,0
58,aggregate,Optimizes lists of prefixes to reduce list lengths,https://web.archive.org/web/20160716192438/freecode.com/projects/aggregate/,1.6,ISC,,3,23,142,3,23,142,0,0,0
59,aha,ANSI HTML adapter,https://github.com/theZiz/aha,0.5.1,LGPL-2.1,,66,207,1060,66,203,1020,0,0,0
60,ahcpd,Autoconfiguration protocol for IPv6 and IPv6/IPv4 networks,https://www.irif.fr/~jch/software/ahcp/,0.53,MIT,,4,14,56,4,14,56,0,0,0
61,ahoy,Creates self documenting CLI programs from commands in YAML files,https://ahoy-cli.readthedocs.io/,2.0.2,MIT,,27,123,768,27,123,768,0,0,0
62,aida-header,Abstract Interfaces for Data Analysis define interfaces for physics analysis,https://aida.freehep.org/,3.2.1,LGPL-3.0-or-later,,7,30,133,7,30,133,0,0,0
63,aide,File and directory integrity checker,https://aide.github.io/,0.18.1,GPL-2.0-or-later,"libgcrypt, libgpg-error, pcre2",68,143,366,68,143,366,2,0,0
64,aircrack-ng,Next-generation aircrack with lots of new features,https://aircrack-ng.org/,1.7,GPL-2.0-or-later and BSD-3-Clause and OpenSSL,"openssl@3, pcre, sqlite",1411,7175,37648,1412,7175,37615,7,0,0
65,airshare,Cross-platform content sharing in a local network,https://airshare.readthedocs.io/,0.1.6,MIT,python@3.11,14,57,356,14,57,357,0,0,0
66,airspy,Driver and tools for a software-defined radio,https://airspy.com/,1.0.10,,libusb,53,282,1598,50,257,1440,0,0,0
67,airspyhf,Driver and tools for a software-defined radio,https://airspy.com/,1.6.8,BSD-3-Clause,libusb,38,186,1138,38,185,1138,0,0,0
68,aiven-client,Official command-line client for Aiven,https://docs.aiven.io/docs/tools/cli,2.18.0,Apache-2.0,python@3.11,0,0,0,0,0,0,0,0,0
69,akamai,CLI toolkit for working with Akamai's APIs,https://github.com/akamai/cli,1.5.3,Apache-2.0,,215,814,4684,215,813,4682,0,0,0
70,akka,"Toolkit for building concurrent, distributed, and fault tolerant apps",https://github.com/akka/akka,2.4.20,Apache-2.0,openjdk,0,0,68,0,0,65,0,0,0
71,akku,Package manager for Scheme,https://akkuscm.org/,1.1.0,GPL-3.0-or-later,guile,1,30,58,0,30,58,0,0,0
72,alac,Basic decoder for Apple Lossless Audio Codec files (ALAC),https://web.archive.org/web/20150319040222/craz.net/programs/itunes/alac.html,0.2.0,,,12,33,128,12,33,128,0,0,0
73,alda,Music programming language for musicians,https://alda.io,2.2.4,EPL-2.0,openjdk,48,191,838,48,191,837,0,0,0
74,aldo,Morse code learning tool released under GPL,https://www.nongnu.org/aldo/,0.7.7,GPL-3.0,libao,2,21,91,2,21,91,0,0,0
75,alembic,Open computer graphics interchange framework,http://alembic.io,1.8.4,BSD-3-Clause,"hdf5, imath, libaec",113,442,1696,97,361,1415,0,0,0
76,alerter,Send User Alert Notification on macOS from the command-line,https://github.com/vjeantet/alerter,004,MIT,,25,184,949,25,184,949,0,0,0
77,alexjs,"Catch insensitive, inconsiderate writing",https://alexjs.com,11.0.0,MIT,node,12,63,286,12,63,286,0,0,0
78,algernon,"Pure Go web server with Lua, Markdown, HTTP/2 and template support",https://github.com/xyproto/algernon,1.14.0,BSD-3-Clause,,12,25,182,12,25,182,0,0,0
79,algol68g,Algol 68 compiler-interpreter,https://jmvdveer.home.xs4all.nl/algol.html,3.1.2,GPL-3.0-or-later,,473,3188,14982,473,3188,14979,0,0,0
80,aliddns,Aliyun(Alibaba Cloud) ddns for golang,https://github.com/OpenIoTHub/aliddns,0.0.13,MIT,,9,19,76,9,19,76,0,0,0
81,align,Text column alignment filter,https://kinzler.com/me/align/,1.7.5,GPL-2.0-or-later,,14,34,99,14,33,98,0,0,0
82,aliyun-cli,Universal Command-Line Interface for Alibaba Cloud,https://github.com/aliyun/aliyun-cli,3.0.152,Apache-2.0,,410,1118,6266,409,1113,6268,0,0,0
83,all-repos,Clone all your repositories and apply sweeping changes,https://github.com/asottile/all-repos,1.25.0,MIT,python@3.11,21,79,306,20,78,305,0,0,0
84,allegro,C/C++ multimedia library for cross-platform game development,https://liballeg.org/,5.2.8.0,Zlib,"dumb, flac, freetype, libogg, libvorbis, opusfile, physfs, theora, webp",82,448,2300,74,430,2176,0,0,0
85,allure,Flexible lightweight test report tool,https://github.com/allure-framework/allure2,2.21.0,Apache-2.0,openjdk,2572,7337,33221,2571,7334,33207,0,0,0
86,allureofthestars,Near-future Sci-Fi roguelike and tactical squad combat game,https://www.allureofthestars.com/,0.11.0.0,AGPL-3.0-or-later and GPL-2.0-or-later and OFL-1.1 and MIT and Cannot Represent,"ghc, gmp, sdl2_ttf",30,157,648,30,157,645,0,0,0
87,alluxio,Open Source Memory Speed Virtual Distributed Storage,https://www.alluxio.io/,2.9.2,Apache-2.0,openjdk@11,40,146,394,40,146,394,0,0,0
88,alot,Text mode MUA using notmuch mail,https://github.com/pazz/alot,0.10,GPL-3.0-only,"gpgme, libmagic, notmuch, python-typing-extensions, python@3.11, six",25,121,582,25,122,582,0,0,0
89,alp,Access Log Profiler,https://github.com/tkuchiki/alp,1.0.12,MIT,,24,80,732,24,80,732,0,0,0
90,alpine,News and email agent,https://alpineapp.email,2.26,Apache-2.0,openssl@3,64,382,2434,63,380,2429,0,0,0
91,alpscore,Applications and libraries for physics simulations,https://alpscore.org,2.2.0,GPL-2.0-only,"boost, eigen, hdf5, open-mpi, libaec",7,47,215,7,47,215,0,0,0
92,alsa-lib,Provides audio and MIDI functionality to the Linux operating system,https://www.alsa-project.org/,1.2.8,LGPL-2.1-or-later,,0,3,3,0,0,0,0,0,0
93,alure,Manage common tasks with OpenAL applications,https://kcat.tomasu.net/alure.html,1.2,MIT,,10,32,157,10,32,158,0,0,0
94,amazon-ecs-cli,CLI for Amazon ECS to manage clusters and tasks for development,https://aws.amazon.com/ecs,1.21.0,Apache-2.0,,143,668,3072,143,668,3071,0,0,0
95,amdatu-bootstrap,Bootstrapping OSGi development,https://bitbucket.org/amdatuadm/amdatu-bootstrap/,9,Apache-2.0,openjdk@8,3,17,79,3,18,80,0,0,0
96,amfora,Fancy terminal browser for the Gemini protocol,https://github.com/makeworld-the-better-one/amfora,1.9.2,GPL-3.0-only and (GPL-3.0-only or MIT),,18,92,590,18,92,590,0,0,0
97,ammonite-repl,Ammonite is a cleanroom re-implementation of the Scala REPL,https://ammonite.io/,2.5.8,MIT,openjdk,892,2702,9727,892,2700,9717,0,0,0
98,amp,Text editor for your terminal,https://amp.rs,0.6.2,GPL-3.0-or-later,,28,149,797,28,149,797,0,0,0
99,ampl-mp,Open-source library for mathematical programming,https://www.ampl.com/,3.1.0,MIT,,386,1984,10493,7,26,101,0,0,0
100,amqp-cpp,C++ library for communicating with a RabbitMQ message broker,https://github.com/CopernicaMarketingSoftware/AMQP-CPP,4.3.20,Apache-2.0,openssl@3,20,104,356,20,104,357,0,0,0
101,amtk,"Actions, Menus and Toolbars Kit for GNOME",https://gitlab.gnome.org/World/amtk,5.6.1,LGPL-2.1-or-later,gtk+3,1136,5783,16866,325,1769,7955,0,0,0
102,amtterm,Serial-over-LAN (sol) client for Intel AMT,https://www.kraxel.org/blog/linux/amtterm/,1.6,GPL-2.0-or-later,,3,15,70,3,15,70,0,0,0
103,analog,Logfile analyzer,https://www.c-amie.co.uk/software/analog/,6.0.17,,"gd, jpeg-turbo, libpng, pcre",26,87,329,26,87,329,0,0,0
104,ancient,Decompression routines for ancient formats,https://github.com/temisu/ancient,2.0.0,BSD-2-Clause,,29,42,42,5,18,18,2,0,0
105,angband,Dungeon exploration game,https://angband.github.io/angband/,4.2.4,GPL-2.0-only,,21,135,795,22,136,795,0,0,0
106,angle-grinder,Slice and dice log files on the command-line,https://github.com/rcoh/angle-grinder,0.18.0,MIT,,14,83,428,14,83,428,0,0,0
107,angular-cli,CLI tool for Angular,https://cli.angular.io/,15.2.2,MIT,node,3256,15113,66826,3252,15099,66781,0,0,0
108,animdl,Anime downloader and streamer,https://github.com/justfoolingaround/animdl,1.7.11,GPL-3.0-only,"pygments, python@3.11, pyyaml",0,0,0,0,0,0,0,0,0
109,anime-downloader,Download your favourite anime,https://github.com/anime-dl/anime-downloader,5.0.9,Unlicense,"aria2, node, python-tabulate, python@3.11, six",48,213,1292,47,213,1293,0,0,0
110,anjuta,GNOME Integrated Development Environment,https://gitlab.gnome.org/Archive/anjuta,3.34.0,GPL-2.0-or-later,"adwaita-icon-theme, autogen, gdl, gnutls, gtksourceview3, hicolor-icon-theme, libgda, libxml2, python@3.9, shared-mime-info, vala, vte3",0,3,466,0,0,466,0,0,0
111,ansible,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,7.3.0,GPL-3.0-or-later,"openssl@1.1, python@3.11, pyyaml, six",21682,110868,586818,21391,109330,579281,5,0,0
112,ansible-cmdb,Generates static HTML overview page from Ansible facts,https://github.com/fboender/ansible-cmdb,1.31,GPL-3.0-or-later,libyaml,11,64,408,11,64,408,0,0,0
113,ansible-language-server,Language Server for Ansible Files,https://github.com/ansible/ansible-language-server,1.0.4,MIT,node,33,350,1480,33,348,1478,0,0,0
114,ansible-lint,Checks ansible playbooks for practices and behaviour,https://github.com/ansible/ansible-lint/,6.14.0,MIT and GPL-3.0-or-later,"ansible, black, pygments, python@3.11, pyyaml, yamllint",5401,19976,68274,5399,19967,68264,0,0,0
115,ansible@2.8,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,2.8.20,GPL-3.0-or-later,"libyaml, openssl@1.1, python@3.7",1,9,1000,0,9,998,0,0,0
116,ansible@2.9,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,2.9.27,GPL-3.0-or-later,"libyaml, openssl@1.1, python@3.9, six",260,1505,9155,260,1505,9151,0,0,0
117,ansible@6,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,6.7.0,GPL-3.0-or-later,"openssl@1.1, python@3.10, pyyaml, six",27,156,162,27,156,162,0,0,0
118,ansifilter,"Strip or convert ANSI codes into HTML, (La)Tex, RTF, or BBCode",http://www.andre-simon.de/doku/ansifilter/ansifilter.html,2.18,GPL-3.0-or-later,,62,254,1119,62,253,1118,0,0,0
119,ansilove,ANSI/ASCII art to PNG converter,https://www.ansilove.org,4.1.6,BSD-2-Clause,gd,28,91,285,27,90,284,0,0,0
120,ansiweather,"Weather in your terminal, with ANSI colors and Unicode symbols",https://github.com/fcambus/ansiweather,1.19.0,BSD-2-Clause,jq,114,848,2572,114,849,2574,0,0,0
121,ant,Java build tool,https://ant.apache.org/,1.10.13,Apache-2.0,openjdk,3943,19701,64757,3713,18559,61312,0,0,0
122,ant-contrib,Collection of tasks for Apache Ant,https://ant-contrib.sourceforge.io/,1.0b3,,ant,47,207,800,47,207,800,0,0,0
123,ant@1.9,Java build tool,https://ant.apache.org/,1.9.16,Apache-2.0,openjdk,113,444,2511,98,365,1830,0,0,0
124,antibody,Shell plugin manager,https://getantibody.github.io/,6.1.1,MIT,,80,302,2113,79,301,2112,0,0,0
125,antidote,"Plugin manager for zsh, inspired by antigen and antibody",https://getantidote.github.io/,1.8.1,MIT,,299,826,1345,299,826,1345,0,0,0
126,antigen,"Plugin manager for zsh, inspired by oh-my-zsh and vundle",https://antigen.sharats.me/,2.2.3,MIT,,399,1789,9061,399,1787,9051,0,0,0
127,antiword,Utility to read Word (.doc) files,http://www.winfield.demon.nl/,0.37,,,95,355,1595,81,300,1444,0,0,0
128,antlr,ANother Tool for Language Recognition,https://www.antlr.org/,4.12.0,BSD-3-Clause,openjdk,302,938,5506,280,853,5228,0,0,0
129,antlr@2,ANother Tool for Language Recognition,https://www.antlr2.org/,2.7.7,ANTLR-PD,openjdk,6,28,563,4,15,108,0,0,0
130,antlr4-cpp-runtime,ANother Tool for Language Recognition C++ Runtime Library,https://www.antlr.org/,4.12.0,BSD-3-Clause,,42,128,842,42,128,838,0,0,0
131,anttweakbar,C/C++ library for adding GUIs to OpenGL apps,https://anttweakbar.sourceforge.io/,1.16,,,12,37,172,12,37,172,0,0,0
132,anycable-go,WebSocket server with action cable protocol,https://github.com/anycable/anycable-go,1.3.0,MIT,,65,345,1583,65,345,1583,0,0,0
133,anyenv,All in one for **env,https://anyenv.github.io/,1.1.5,MIT,,582,2911,17331,582,2910,17330,0,0,0
134,aoeui,Lightweight text editor optimized for Dvorak and QWERTY keyboards,https://code.google.com/archive/p/aoeui/,1.6,GPL-2.0-only,,1,7,26,0,7,25,0,0,0
135,aom,Codec library for encoding and decoding AV1 video streams,https://aomedia.googlesource.com/aom,3.6.0,BSD-2-Clause,"jpeg-xl, libvmaf",272763,808327,3448422,44310,92716,196678,2,0,0
136,apache-archiva,Build Artifact Repository Manager,https://archiva.apache.org/,2.2.9,Apache-2.0 and GPL-2.0-only,"java-service-wrapper, openjdk",41,126,397,42,127,397,0,0,0
137,apache-arrow,Columnar in-memory analytics layer designed to accelerate big data,https://arrow.apache.org/,11.0.0,Apache-2.0,"aws-sdk-cpp, brotli, bzip2, glog, grpc, lz4, openssl@1.1, protobuf, rapidjson, re2, snappy, thrift, utf8proc, z3, zstd",8727,56556,83592,2387,11956,28939,75,0,0
138,apache-arrow-glib,GLib bindings for Apache Arrow,https://arrow.apache.org/,11.0.0,Apache-2.0,"apache-arrow, glib",134,1051,4199,134,1050,4194,3,0,0
139,apache-brooklyn-cli,Apache Brooklyn command-line interface,https://brooklyn.apache.org,1.0.0,Apache-2.0,,10,17,59,10,17,59,0,0,0
140,apache-ctakes,NLP system for extraction of information from EMR clinical text,https://ctakes.apache.org,4.0.0.1,Apache-2.0,openjdk,0,4,45,0,4,45,0,0,0
141,apache-drill,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",https://drill.apache.org,1.21.0,Apache-2.0,openjdk@11,65,312,922,65,311,923,0,0,0
142,apache-flink,Scalable batch and stream data processing,https://flink.apache.org/,1.16.1,Apache-2.0,openjdk@11,343,1226,5865,345,1229,5866,0,0,0
143,apache-forrest,Publishing framework providing multiple output formats,https://forrest.apache.org/,0.9,Apache-2.0,openjdk,0,1,59,0,0,59,0,0,0
144,apache-geode,In-memory Data Grid for fast transactional data processing,https://geode.apache.org/,1.15.1,Apache-2.0,openjdk@11,31,111,315,31,111,315,0,0,0
145,apache-opennlp,Machine learning toolkit for processing natural language text,https://opennlp.apache.org/,2.1.1,Apache-2.0,openjdk,43,166,583,42,165,582,0,0,0
146,apache-pulsar,Cloud-native distributed messaging and streaming platform,https://pulsar.apache.org/,2.10.3,Apache-2.0,openjdk@17,15,100,459,15,101,461,0,0,0
147,apache-spark,Engine for large-scale data processing,https://spark.apache.org/,3.3.2,Apache-2.0,openjdk,3220,11685,58129,3213,11667,58066,0,0,0
148,apachetop,Top-like display of Apache log,https://github.com/tessus/apachetop,0.23.2,BSD-3-Clause,"adns, ncurses, pcre2",8,35,201,8,35,201,0,0,0
149,apcupsd,Daemon for controlling APC UPSes,http://www.apcupsd.org,3.14.14,GPL-2.0-only,"gd, libusb-compat",40,135,566,40,134,565,2,0,0
150,apgdiff,Another PostgreSQL diff tool,https://www.apgdiff.com/,2.7.0,MIT,openjdk,34,127,458,34,127,456,0,0,0
151,apib,HTTP performance-testing tool,https://github.com/apigee/apib,1.2.1,Apache-2.0,"libev, openssl@3",14,46,216,14,46,215,0,0,0
152,apibuilder-cli,Command-line interface to generate clients for api builder,https://www.apibuilder.io,0.1.45,MIT,,123,231,519,123,231,519,0,0,0
153,apidoc,RESTful web API Documentation Generator,https://apidocjs.com,0.54.0,MIT,"node, macos-term-size",64,160,888,65,161,887,0,0,0
154,apktool,"Tool for reverse engineering 3rd party, closed, binary Android apps",https://github.com/iBotPeaches/Apktool,2.7.0,Apache-2.0,openjdk,1854,9617,37984,1839,9596,37918,0,0,0
155,apm-bash-completion,Completion for Atom Package Manager,https://github.com/vigo/apm-bash-completion,1.0.0,MIT,,15,64,236,15,64,234,0,0,0
156,apng2gif,Convert APNG animations into animated GIF format,https://apng2gif.sourceforge.io/,1.8,,libpng,8,19,88,8,19,88,0,0,0
157,apngasm,"Next generation of apngasm, the APNG assembler",https://github.com/apngasm/apngasm,3.1.10,Zlib,"boost, icu4c, libpng, lzlib",45,358,1306,45,358,1306,0,0,0
158,apollo,Multi-protocol messaging broker based on ActiveMQ,https://activemq.apache.org/,1.7.1,Apache-2.0,openjdk,1,2,235,0,0,236,0,0,0
159,apollo-cli,Command-line tool for Apollo GraphQL,https://apollographql.com,2.33.4,MIT,node,75,311,1846,75,311,1845,0,0,0
160,apophenia,C library for statistical and scientific computing,http://apophenia.info,1.0,GPL-2.0-only,gsl,2,11,22,2,11,22,0,0,0
161,app-engine-java,Google App Engine for Java,https://cloud.google.com/appengine/docs/java/,1.9.83,,openjdk@8,2,2,81,2,0,81,0,0,0
162,app-engine-python,Google App Engine,https://cloud.google.com/appengine/docs,1.9.86,,,47,85,235,47,85,234,0,0,0
163,apparix,File system navigation via bookmarking directories,https://micans.org/apparix/,11-062,GPL-3.0-or-later,,2,11,53,2,11,52,0,0,0
164,appium,Automation for Apps,https://appium.io/,1.22.3,Apache-2.0,node,406,1799,10097,452,1851,10153,0,0,0
165,appscale-tools,Command-line tools for working with AppScale,https://github.com/AppScale/appscale-tools,3.5.3,Apache-2.0,"libyaml, openssl@1.1",1,2,10,0,0,10,0,0,0
166,appstream-glib,Helper library for reading and writing AppStream metadata,https://github.com/hughsie/appstream-glib,0.8.2,LGPL-2.1-or-later,"gdk-pixbuf, glib, json-glib, libarchive",22,119,631,22,113,581,0,0,0
167,apr,Apache Portable Runtime library,https://apr.apache.org/,1.7.2,Apache-2.0,,91171,281622,1002042,1162,4217,12866,6,0,0
168,apr-util,"Companion library to apr, the Apache Portable Runtime library",https://apr.apache.org/,1.6.3,Apache-2.0,"apr, openssl@1.1",90112,253081,1019769,21476,41149,149420,0,0,0
169,apt,Advanced Package Tool,https://wiki.debian.org/Apt,2.6.0,GPL-2.0-or-later,"berkeley-db, bzip2, dpkg, gettext, gnupg, gnutls, lz4, perl, xxhash, zlib",0,40,53,0,40,52,0,0,0
